Activity Year,Respondent ID,Agency Code,Parent Respondent ID,Parent Name (Panel),Parent City (Panel),Parent State (Panel),Region,Assets,Other Lender Code,Respondent Name (Panel),Respondent City (Panel),Respondent State (Panel),Top Holder RSSD ID,Top Holder Name,Top Holder City,Top Holder State,Top Holder Country,Respondent RSSD ID,Parent RSSD ID,Respondent FIPS State Number
2010,0000003654,1,          ,                              ,                         ,  ,03,0001002020,0,FARMERS NB                                                            ,CANFIELD                 ,OH                    ,0001071191,FARMERS NAT BC                ,CANFIELD                 ,OH,UNITED STATES                           ,0000680813,0000000000,39
2010,0000003656,1,          ,                              ,                         ,  ,02,0001832921,0,CADENCE BK NA                                                         ,STARKVILLE               ,MS                    ,0001100037,CADENCE FNCL CORP             ,STARKVILLE               ,MS,UNITED STATES                           ,0000115641,0000000000,28
2010,0000003711,1,          ,                              ,                         ,  ,03,0000052840,0,ATLANTA NB                                                            ,ATLANTA                  ,IL                    ,0002971270,ANB BC                        ,ATLANTA                  ,IL,UNITED STATES                           ,0000672238,0000000000,17
2010,0000003720,1,          ,                              ,                         ,  ,04,0000906171,0,FIRST NB OF OLATHE                                                    ,OLATHE                   ,KS                    ,0001063262,FIRST OLATHE BSHRS            ,OVERLAND PARK            ,KS,UNITED STATES                           ,0000456456,0000000000,20
2010,0000003724,1,          ,                              ,                         ,  ,03,0000255047,0,FIRST NB FOX VALLEY                                                   ,NEENAH                   ,WI                    ,0001208876,FIRST MENASHA BSHRS           ,NEENAH                   ,WI,UNITED STATES                           ,0000675949,0000000000,55
2010,0000003817,1,          ,                              ,                         ,  ,01,0001540588,0,CANANDAIGUA NB&TC                                                     ,CANANDAIGUA              ,NY                    ,0001133503,CANANDAIGUA NAT CORP          ,CANANDAIGUA              ,NY,UNITED STATES                           ,0000161602,0000000000,36
2010,0000003956,1,          ,                              ,                         ,  ,04,0000449283,0,BAKER BOYER NB                                                        ,WALLA WALLA              ,WA                    ,0001141870,BAKER BOYER BC                ,WALLA WALLA              ,WA,UNITED STATES                           ,0000069678,0000000000,53
2010,0000004013,1,          ,                              ,                         ,  ,01,0000055789,0,LENOX NB                                                              ,LENOX                    ,MA                    ,0000000000,                              ,                         ,  ,                                        ,0000791205,0000000000,25
2010,0000004039,1,          ,                              ,                         ,  ,01,0000354772,0,FIRST NB OF MIFFLINTOWN                                               ,MIFFLINTOWN              ,PA                    ,0001132896,FIRST CMNTY FNCL CORP         ,MIFFLINTOWN              ,PA,UNITED STATES                           ,0000212018,0000000000,42
2010,0000004076,1,          ,                              ,                         ,  ,02,0000111581,0,FIRST NB                                                              ,MCGREGOR                 ,TX                    ,0000000000,                              ,                         ,  ,                                        ,0000895055,0000000000,48
2010,0000004093,1,          ,                              ,                         ,  ,02,0000310060,0,FIRST NB                                                              ,BASTROP                  ,TX                    ,0002410304,BASTROP BSHRS                 ,BASTROP                  ,TX,UNITED STATES                           ,0000018050,0000000000,48
2010,0000004097,1,          ,                              ,                         ,  ,02,0000458568,0,NATIONAL BK                                                           ,GATESVILLE               ,TX                    ,0003059773,NATIONAL UNITED BSHRS         ,GATESVILLE               ,TX,UNITED STATES                           ,0000322056,0000000000,48
2010,0000004107,1,          ,                              ,                         ,  ,01,0000298505,0,NATIONAL CAPITAL BK OF WA                                             ,WASHINGTON               ,DC                    ,0000000000,                              ,                         ,  ,                                        ,0000791821,0000000000,11
2010,0000004137,1,          ,                              ,                         ,  ,03,0000270260,0,STEPHENSON NB&TC                                                      ,MARINETTE                ,WI                    ,0001245509,STEPHENSON NAT BC             ,MARINETTE                ,WI,UNITED STATES                           ,0000598048,0000000000,55
2010,0000004166,1,          ,                              ,                         ,  ,02,0001087452,0,FIRST FNCL BK NA                                                      ,ABILENE                  ,TX                    ,0001102312,FIRST FNCL BSHRS              ,ABILENE                  ,TX,UNITED STATES                           ,0000470050,0000000000,48
2010,0000004208,1,          ,                              ,                         ,  ,02,0000339153,0,FIRST NB                                                              ,HUNTSVILLE               ,TX                    ,0003018958,FIRST NAT BSHRS               ,HUNTSVILLE               ,TX,UNITED STATES                           ,0000583352,0000000000,48
2010,0000004230,1,          ,                              ,                         ,  ,01,0001694052,0,SUFFOLK CTY NB                                                        ,RIVERHEAD                ,NY                    ,0001130865,SUFFOLK BC                    ,RIVERHEAD                ,NY,UNITED STATES                           ,0000799612,0000000000,36
2010,0000004238,1,          ,                              ,                         ,  ,02,0000192406,0,FIRST NB                                                              ,BEEVILLE                 ,TX                    ,0001130771,FIRST BEEVILLE FC             ,BEEVILLE                 ,TX,UNITED STATES                           ,0000028255,0000000000,48
2010,0000004241,1,          ,                              ,                         ,  ,02,0000281619,0,FIRST NB                                                              ,BELLVILLE                ,TX                    ,0002112439,INDUSTRY BSHRS                ,INDUSTRY                 ,TX,UNITED STATES                           ,0000091754,0000000000,48
2010,0000004246,1,          ,                              ,                         ,  ,02,0000236089,0,COMANCHE NB                                                           ,COMANCHE                 ,TX                    ,0002973238,COMANCHE NAT CORP             ,COMANCHE                 ,TX,UNITED STATES                           ,0000949556,0000000000,48
2010,0000004265,1,          ,                              ,                         ,  ,02,0000570122,0,LEGEND BK NA                                                          ,BOWIE                    ,TX                    ,0001416578,LEGEND BC                     ,BOWIE                    ,TX,UNITED STATES                           ,0000100357,0000000000,48
2010,0000004284,1,          ,                              ,                         ,  ,04,0000833054,0,CENTRAL NB                                                            ,JUNCTION CITY            ,KS                    ,0001064429,CENTRAL OF KS                 ,JUNCTION CITY            ,KS,UNITED STATES                           ,0000234355,0000000000,20
2010,0000004299,1,          ,                              ,                         ,  ,03,0000300729,0,CARLINVILLE NB                                                        ,CARLINVILLE              ,IL                    ,0001245460,CARLINVILLE NAT BSHRS         ,CARLINVILLE              ,IL,UNITED STATES                           ,0000613343,0000000000,17
2010,0000004341,1,          ,                              ,                         ,  ,04,0017860211,0,ZIONS FIRST NB                                                        ,SALT LAKE CITY           ,UT                    ,0001027004,ZIONS BC                      ,SALT LAKE CITY           ,UT,UNITED STATES                           ,0000276579,0000000000,49
2010,0000004418,1,          ,                              ,                         ,  ,02,0000218594,0,FIRST NB                                                              ,GRAHAM                   ,TX                    ,0001107700,FIRST GRAHAM BC               ,GRAHAM                   ,TX,UNITED STATES                           ,0000327855,0000000000,48
2010,0000004483,1,          ,                              ,                         ,  ,02,0000455314,0,FIRST NB                                                              ,JACKSBORO                ,TX                    ,0003472411,HIGHLANDS BSHRS               ,DALLAS                   ,TX,UNITED STATES                           ,0000597751,0000000000,48
2010,0000004596,1,          ,                              ,                         ,  ,03,0002548251,0,OLD SECOND NB                                                         ,AURORA                   ,IL                    ,0001206911,OLD SECOND BC                 ,AURORA                   ,IL,UNITED STATES                           ,0000936136,0000000000,17
2010,0000004620,1,          ,                              ,                         ,  ,03,0000264232,0,FIRST NB OF BERLIN                                                    ,BERLIN                   ,WI                    ,0001889538,FIRST BERLIN BC               ,BERLIN                   ,WI,UNITED STATES                           ,0000111942,0000000000,55
2010,0000004639,1,          ,                              ,                         ,  ,03,0000340227,0,WOODTRUST BK NA                                                       ,WISCONSIN RAPIDS         ,WI                    ,0001020582,WOODTRUST FC                  ,WISCONSIN RAPIDS         ,WI,UNITED STATES                           ,0000833749,0000000000,55
2010,0000004701,1,          ,                              ,                         ,  ,02,0000112339,0,TEXAS HERITAGE NB                                                     ,DAINGERFIELD             ,TX                    ,0003220836,DAINGERFIELD HC               ,DAINGERFIELD             ,TX,UNITED STATES                           ,0000824653,0000000000,48
2010,0000004742,1,          ,                              ,                         ,  ,04,0001809955,0,SUNFLOWER BK NA                                                       ,SALINA                   ,KS                    ,0001066713,SUNFLOWER FNCL                ,SALINA                   ,KS,UNITED STATES                           ,0000474759,0000000000,20
2010,0000004774,1,          ,                              ,                         ,  ,01,0000256740,0,FIRST NB OF IPSWICH                                                   ,IPSWICH                  ,MA                    ,0001247204,FIRST IPSWICH BC              ,IPSWICH                  ,MA,UNITED STATES                           ,0000442806,0000000000,25
2010,0000004860,1,          ,                              ,                         ,  ,04,0000137135,0,MIDLAND NB OF NEWTON                                                  ,NEWTON                   ,KS                    ,0001928437,MIDLAND FC                    ,NEWTON                   ,KS,UNITED STATES                           ,0000576653,0000000000,20
2010,0000004934,1,          ,                              ,                         ,  ,03,0000266572,0,FIRST NB OF CARMI                                                     ,CARMI                    ,IL                    ,0001098929,SOUTHERN IL BANCORP           ,CARMI                    ,IL,UNITED STATES                           ,0000209148,0000000000,17
