Preapproval request approved but not accepted,1339,1
Application withdrawn by applicant,5673,1
Loan originated,2641,2
Loan originated,4806,3
Preapproval request approved but not accepted,3845,1
Application approved but not accepted,1047,1
Application denied by financial institution,0819,133
Loan originated,10517,1
File closed for incompleteness,528,20
Application denied by financial institution,5587,1
Loan originated,1817,7
File closed for incompleteness,183,334
Loan originated,2922,19
Application denied by financial institution,0613,311
Application denied by financial institution,2879,5
File closed for incompleteness,0364,394
Preapproval request denied by financial institution,951,1
Application withdrawn by applicant,3807,1
Application withdrawn by applicant,3819,2
Loan originated,2016,100
Loan purchased by the institution,1583,7
Loan originated,7690,1
Loan originated,5555,1
Application denied by financial institution,0892,88
File closed for incompleteness,322,69
Application withdrawn by applicant,2850,2
Preapproval request denied by financial institution,1070,1
Application withdrawn by applicant,1923,1
Loan purchased by the institution,622,21
Application denied by financial institution,0510,1335
Loan originated,234,4322
Preapproval request denied by financial institution,119,202
Application denied by financial institution,1860,1
Preapproval request denied by financial institution,80,989
Loan originated,0235,48765
Application denied by financial institution,6235,1
Application withdrawn by applicant,4746,1
Loan originated,131,22583
Loan originated,731,83
Application denied by financial institution,5484,1
Loan purchased by the institution,828,4
Preapproval request approved but not accepted,4978,1
File closed for incompleteness,2042,4
Loan purchased by the institution,97,4186
Loan originated,4982,1
Application withdrawn by applicant,2059,11
Application denied by financial institution,2673,8
Application approved but not accepted,2880,1
Loan originated,4179,7
Application denied by financial institution,7162,1
File closed for incompleteness,1115,17
Application denied by financial institution,3424,1
File closed for incompleteness,1497,6
Loan originated,8441,1
Application denied by financial institution,834,8
File closed for incompleteness,1012,29
File closed for incompleteness,0000109,1
Loan purchased by the institution,0759,108
Preapproval request approved but not accepted,0128,2126
Loan purchased by the institution,4218,1
Loan originated,4600,32
File closed for incompleteness,3175,1
Loan originated,4909,2
Preapproval request approved but not accepted,920,3
Loan originated,7793,3
Preapproval request denied by financial institution,148,113
Loan originated,6100,2
Loan originated,1087,29
Preapproval request approved but not accepted,396,12
Application withdrawn by applicant,1193,2
Application approved but not accepted,9459,1
Preapproval request approved but not accepted,190,115
Application approved but not accepted,1454,13
Application denied by financial institution,195,1512
Application approved but not accepted,0527,215
Loan originated,2398,34
Preapproval request approved but not accepted,0931,6
Application withdrawn by applicant,2862,4
Application denied by financial institution,7368,1
Application approved but not accepted,637,9
Application approved but not accepted,2102,8
Application denied by financial institution,731,15
Loan originated,3671,2
Preapproval request approved but not accepted,293,15
Application approved but not accepted,431,22
Application denied by financial institution,54,21223
Application approved but not accepted,534,16
Loan originated,0000170,14
Loan originated,0338,10929
Application withdrawn by applicant,022,1
File closed for incompleteness,2145,4
Preapproval request denied by financial institution,34,1317
Loan purchased by the institution,1480,16
Loan purchased by the institution,1369,1
Preapproval request approved but not accepted,595,1
Loan originated,6203,1
Loan originated,7999,2
File closed for incompleteness,2248,1
Application approved but not accepted,0424,449
Loan originated,2119,42
Preapproval request denied by financial institution,192,58
Loan purchased by the institution,1686,10
Application withdrawn by applicant,1832,14
Application withdrawn by applicant,3716,2
Loan originated,1890,6
Loan originated,2295,60
Application denied by financial institution,0089,124633
Application denied by financial institution,1849,13
Loan purchased by the institution,1060,3
Application denied by financial institution,2890,1
Application withdrawn by applicant,0905,75
Loan purchased by the institution,1304,18
Application withdrawn by applicant,1820,1
Loan originated,337,1274
Application withdrawn by applicant,3613,1
Application withdrawn by applicant,3510,2
Loan purchased by the institution,725,11
Application denied by financial institution,822,22
Preapproval request approved but not accepted,1158,1
File closed for incompleteness,5965,1
File closed for incompleteness,286,84
Loan originated,1368,219
Loan purchased by the institution,0553,318
File closed for incompleteness,3802,1
Preapproval request approved but not accepted,0025,3814
Loan originated,8647,1
Loan originated,5939,2
Loan purchased by the institution,4012,1
Application denied by financial institution,937,5
Application approved but not accepted,956,2
Application withdrawn by applicant,4643,2
File closed for incompleteness,913,4
Loan originated,1611,8
Application approved but not accepted,0000079,3
Loan purchased by the institution,1789,6
Application withdrawn by applicant,1090,4
Preapproval request approved but not accepted,213,30
Loan originated,0132,253144
Loan originated,3149,16
Application withdrawn by applicant,841,11
Application denied by financial institution,925,14
File closed for incompleteness,0467,170
Application denied by financial institution,1540,47
Preapproval request approved but not accepted,64,220
Application denied by financial institution,6338,2
Loan purchased by the institution,4115,1
Application withdrawn by applicant,1017,3
Preapproval request approved but not accepted,2188,2
Preapproval request denied by financial institution,0948,3
Loan originated,5836,1
Application denied by financial institution,2817,1
Preapproval request approved but not accepted,110,259
Application withdrawn by applicant,944,4
Preapproval request denied by financial institution,1276,1
Preapproval request denied by financial institution,0845,2
Application withdrawn by applicant,0802,100
Application withdrawn by applicant,0278,2809
Application approved but not accepted,2587,2
Loan purchased by the institution,2437,1
File closed for incompleteness,1394,9
File closed for incompleteness,425,59
Application approved but not accepted,853,1
Loan originated,235,5428
Application denied by financial institution,2571,3
Loan originated,5631,1
Loan originated,1536,7
Preapproval request denied by financial institution,296,14
Application withdrawn by applicant,3614,1
Application approved but not accepted,7983,1
Application denied by financial institution,0614,372
Application denied by financial institution,5000,106
Application withdrawn by applicant,3790,3
File closed for incompleteness,2403,2
Application withdrawn by applicant,8000,48
Application denied by financial institution,0000101,1
Loan originated,8918,1
Application approved but not accepted,2485,4
Application approved but not accepted,2103,3
Application approved but not accepted,4266,1
Application approved but not accepted,4380,1
Loan originated,7897,2
Application denied by financial institution,938,7
Application denied by financial institution,5309,1
Application approved but not accepted,2206,3
Loan originated,3111,1
Application withdrawn by applicant,3893,2
Application approved but not accepted,6047,2
File closed for incompleteness,3906,1
Loan purchased by the institution,1612,2
Loan originated,1330,20
Application withdrawn by applicant,1745,1
Application withdrawn by applicant,2966,2
Preapproval request approved but not accepted,699,1
Application denied by financial institution,2330,1
Loan originated,72,51868
Loan originated,4077,6
Loan purchased by the institution,1408,19
Application approved but not accepted,0322,1065
File closed for incompleteness,1116,39
Application approved but not accepted,638,2
Application approved but not accepted,2588,2
Loan originated,3317,2
Loan purchased by the institution,1481,24
File closed for incompleteness,7541,1
Application approved but not accepted,2423,1
Application withdrawn by applicant,0700,1747
Application withdrawn by applicant,0279,2413
Application withdrawn by applicant,560,55
Preapproval request denied by financial institution,0640,14
Preapproval request approved but not accepted,742,1
Application withdrawn by applicant,4747,1
Preapproval request approved but not accepted,3640,4
Loan purchased by the institution,0657,196
Application withdrawn by applicant,14916,1
Application denied by financial institution,8090,2
Loan originated,1433,7
Loan originated,450,1162
Application withdrawn by applicant,229,724
Application denied by financial institution,4558,1
Preapproval request denied by financial institution,979,1
Loan originated,0000171,9
Loan purchased by the institution,5146,1
Loan originated,68000,2
Application withdrawn by applicant,2760,43
Application withdrawn by applicant,3511,5
File closed for incompleteness,1498,4
Application denied by financial institution,0790,262
Loan originated,1369,151
Loan originated,338,1243
Preapproval request approved but not accepted,1159,4
Application denied by financial institution,541,22
Application denied by financial institution,1300,23
Application denied by financial institution,5206,1
Loan originated,2296,52
Application approved but not accepted,1558,10
Loan purchased by the institution,4116,1
Application denied by financial institution,3322,1
Loan originated,13123,1
Loan purchased by the institution,1687,16
Preapproval request denied by financial institution,1670,1
Loan purchased by the institution,857,5
File closed for incompleteness,0365,555
Application approved but not accepted,1455,14
Loan originated,132,23874
Application approved but not accepted,778,3
Application denied by financial institution,1609,1
Loan originated,0030,483393
Application approved but not accepted,0528,380
Application withdrawn by applicant,5571,2
Loan originated,2923,17
File closed for incompleteness,1013,23
Preapproval request denied by financial institution,0949,1
Loan purchased by the institution,3262,2
File closed for incompleteness,323,62
Loan originated,0000377,2
Loan originated,2820,32
Application withdrawn by applicant,869,6
Preapproval request approved but not accepted,214,33
File closed for incompleteness,0468,389
Application denied by financial institution,4352,2
File closed for incompleteness,1395,6
Loan originated,759,85
Application approved but not accepted,4060,1
Preapproval request approved but not accepted,390,7
Application denied by financial institution,1506,2
Application withdrawn by applicant,2775,1
File closed for incompleteness,5760,1
Application denied by financial institution,835,12
Loan purchased by the institution,651,5
File closed for incompleteness,3073,1
File closed for incompleteness,735,7
Application withdrawn by applicant,023,1
Application approved but not accepted,572,10
Loan originated,5837,1
Application denied by financial institution,732,25
Application withdrawn by applicant,0803,102
Application withdrawn by applicant,1848,3
File closed for incompleteness,838,2
Application withdrawn by applicant,766,14
Application denied by financial institution,3360,2
File closed for incompleteness,7901,1
Loan originated,4983,6
Preapproval request denied by financial institution,0846,2
Loan purchased by the institution,520,40
Preapproval request denied by financial institution,35,1448
Loan originated,2463,1
Application withdrawn by applicant,8485,1
File closed for incompleteness,220,675
Application withdrawn by applicant,4644,1
Preapproval request denied by financial institution,193,38
Loan originated,1639,5
Loan purchased by the institution,1584,15
Preapproval request approved but not accepted,1056,8
Loan originated,7158,1
Application approved but not accepted,432,41
File closed for incompleteness,3279,1
Loan originated,4601,8
Loan originated,1163,281
Application denied by financial institution,0893,121
Loan originated,2193,34
Loan originated,147000,1
Loan originated,3850,19
Loan originated,3047,14
Application denied by financial institution,0996,514
Loan purchased by the institution,1202,35
Application withdrawn by applicant,0176,13206
Application withdrawn by applicant,1936,5
Loan originated,8442,1
Loan originated,2017,67
Preapproval request denied by financial institution,876,1
Application denied by financial institution,2777,4
Loan purchased by the institution,2335,2
Loan originated,3596,1
Application withdrawn by applicant,663,17
Preapproval request approved but not accepted,111,142
Application withdrawn by applicant,65,11087
Application denied by financial institution,6339,1
Application approved but not accepted,7880,1
Application denied by financial institution,0717,204
Application approved but not accepted,2000,226
Application denied by financial institution,1644,72
Application withdrawn by applicant,1730,25
Application denied by financial institution,11266,1
Application withdrawn by applicant,1833,19
Loan originated,2669,2
File closed for incompleteness,3700,4
Application withdrawn by applicant,0906,85
Loan originated,2360,1
Loan originated,9472,2
Loan purchased by the institution,4498,1
File closed for incompleteness,1292,7
Application approved but not accepted,0425,1137
Loan purchased by the institution,754,4
Loan originated,3953,4
Application withdrawn by applicant,126,5112
Loan originated,1060,426
Loan originated,0133,203032
Application denied by financial institution,3528,5
Application denied by financial institution,0511,615
File closed for incompleteness,2146,2
File closed for incompleteness,426,27
Loan originated,0000274,2
Loan originated,4880,8
Loan purchased by the institution,1305,15
Loan originated,7412,1
Preapproval request approved but not accepted,0932,2
Application approved but not accepted,1775,1
File closed for incompleteness,0262,1163
Application denied by financial institution,747,13
Application withdrawn by applicant,6425,1
Loan originated,2090,58
Application approved but not accepted,535,15
